NAICS_Code,Title,Description,Emissions
111110,Soybean Farming,"kg CO2e/2022 USD, purchaser price",532
111120,Oilseed (except Soybean) Farming,"kg CO2e/2022 USD, purchaser price",532
111130,Dry Pea and Bean Farming,"kg CO2e/2022 USD, purchaser price",848
111140,Wheat Farming,"kg CO2e/2022 USD, purchaser price",848
111150,Corn Farming,"kg CO2e/2022 USD, purchaser price",848
111160,Rice Farming,"kg CO2e/2022 USD, purchaser price",848
111191,Oilseed and Grain Combination Farming,"kg CO2e/2022 USD, purchaser price",848
111199,All Other Grain Farming,"kg CO2e/2022 USD, purchaser price",848
111211,Potato Farming,"kg CO2e/2022 USD, purchaser price",631
111219,Other Vegetable (except Potato) and Melon Farming,"kg CO2e/2022 USD, purchaser price",631
111310,Orange Groves,"kg CO2e/2022 USD, purchaser price",488
111320,Citrus (except Orange) Groves,"kg CO2e/2022 USD, purchaser price",488
111331,Apple Orchards,"kg CO2e/2022 USD, purchaser price",488
111332,Grape Vineyards,"kg CO2e/2022 USD, purchaser price",488
111333,Strawberry Farming,"kg CO2e/2022 USD, purchaser price",488
111334,Berry (except Strawberry) Farming,"kg CO2e/2022 USD, purchaser price",488
111335,Tree Nut Farming,"kg CO2e/2022 USD, purchaser price",488
111336,Fruit and Tree Nut Combination Farming,"kg CO2e/2022 USD, purchaser price",488
111339,Other Noncitrus Fruit Farming,"kg CO2e/2022 USD, purchaser price",488
111411,Mushroom Production,"kg CO2e/2022 USD, purchaser price",307
111419,Other Food Crops Grown Under Cover,"kg CO2e/2022 USD, purchaser price",307
111421,Nursery and Tree Production,"kg CO2e/2022 USD, purchaser price",307
111422,Floriculture Production,"kg CO2e/2022 USD, purchaser price",307
111910,Tobacco Farming,"kg CO2e/2022 USD, purchaser price",740
111920,Cotton Farming,"kg CO2e/2022 USD, purchaser price",740
111930,Sugarcane Farming,"kg CO2e/2022 USD, purchaser price",740
111940,Hay Farming,"kg CO2e/2022 USD, purchaser price",740
111991,Sugar Beet Farming,"kg CO2e/2022 USD, purchaser price",740
111992,Peanut Farming,"kg CO2e/2022 USD, purchaser price",740
111998,All Other Miscellaneous Crop Farming,"kg CO2e/2022 USD, purchaser price",740
112111,Beef Cattle Ranching and Farming,"kg CO2e/2022 USD, purchaser price",2893
112112,Cattle Feedlots,"kg CO2e/2022 USD, purchaser price",2893
112120,Dairy Cattle and Milk Production,"kg CO2e/2022 USD, purchaser price",1724
112130,Dual-Purpose Cattle Ranching and Farming,"kg CO2e/2022 USD, purchaser price",2893
112210,Hog and Pig Farming,"kg CO2e/2022 USD, purchaser price",1128
112310,Chicken Egg Production,"kg CO2e/2022 USD, purchaser price",438
112320,Broilers and Other Meat Type Chicken Production,"kg CO2e/2022 USD, purchaser price",438
112330,Turkey Production,"kg CO2e/2022 USD, purchaser price",438
